,Estimated,Correct,Total,Accuracy
Benign,7,6,10,60.0
Botnet,11,10,10,100.0
Brute-force,18,11,11,100.0
DDoS attack,6,5,5,100.0
DoS attack,9,8,13,61.53846153846154
Infilteration,3,2,6,33.33333333333333
Web attack,10,9,9,100.0
