,precision,recall,f1-score,support
Benign,0.9999782994072122,0.9999948331067651,0.9999865661886469,1935399.0
Malicious,0.9999587412789378,0.9998267362471897,0.9998927344062644,242405.0
accuracy,0.9999761227364813,0.9999761227364813,0.9999761227364813,0.9999761227364813
macro avg,0.999968520343075,0.9999107846769774,0.9999396502974556,2177804.0
weighted avg,0.9999761224491002,0.9999761227364813,0.9999761220471134,2177804.0
